Time_s,Inference_Only
3.599,0.3672226208031639
3.604,0.26768989779226526
3.608,-1.079994084889151
3.612,0.6293848944783198
3.617,0.8075760041193414
3.62,1.5923794068546853
3.625,0.9143537068278014
3.628,1.8392764165133264
3.631,0.5625490628855192
3.636,-0.6540913792439542
3.639,0.7665074391791835
3.644,1.2673902287749934
3.648,2.0168943253517257
3.652,2.500765414521393
3.654,2.490523503573142
3.66,2.229869482159912
3.663,0.9795523675225706
3.668,0.9001464919232083
3.671,1.4880825529493888
3.677,2.0371261023448786
3.679,2.0915452792931015
3.684,2.4123617447494556
3.686,2.0190057799880217
3.691,1.1915910943862675
3.695,0.7972398228786162
3.699,1.0856059517439247
3.703,1.9374212426239175
3.707,2.4318734966155393
3.711,3.137388174487779
3.716,1.7602730177380987
3.719,0.3460314423195392
3.724,-0.7416830648380657
3.729,0.3580278298125972
3.733,0.9988859178450755
3.737,2.2301485829496297
3.741,2.234515760041748
3.746,2.242980868981154
3.749,0.7203977663306809
3.754,0.37970695629947304
3.759,0.624254102867341
3.763,0.8753215530053327
3.767,2.202202591650763
3.772,2.438786444300266
3.775,2.3521474584954465
3.778,2.2670602815200622
3.782,1.383501295792029
3.786,-0.6210597791146393
3.791,2.6592098242234137
3.793,1.8656526016337596
3.799,2.235739462661944
3.805,2.078306816355072
3.807,1.8820530233051231
3.811,1.928696185610694
3.814,0.7039663620905294
3.818,-0.10367513039693765
3.823,0.5761895002198916
3.827,2.35363982299352
3.831,2.366428756023259
3.836,2.9155508452370826
3.838,2.456049262293193
3.843,2.559193800519447
3.848,0.3656129043881515
3.851,2.3090005893248433
3.855,1.6403759195220982
3.859,2.1103434024705265
3.864,1.9799940259969646
3.868,2.4926140968805552
3.871,1.1934667773867504
3.875,-0.3705426222379131
3.88,0.17237681304970653
3.884,1.1805044337108668
3.888,2.66444470119894
3.893,2.990286884416289
3.896,3.262272977680986
3.899,3.639744943370079
3.904,0.9105973797005564
3.907,0.8922286171322868
3.912,1.3753926273791182
3.915,0.8797522562851867
3.919,2.1629814928545468
3.924,2.670582046680291
3.928,2.083886767697898
3.933,0.7970401926645074
3.936,1.311040216348923
3.94,0.5350536136819208
3.945,3.643717895101481
3.949,2.351740394158467
3.953,2.9028747604725353
3.957,2.253737537228319
3.961,0.9412704705499593
3.966,0.9791093044955277
3.969,0.7184260357307588
3.973,0.8758488822854944
3.979,1.17852336816272
3.981,2.198152630995857
3.989,2.5645777114175567
3.992,1.5849419887644318
3.994,0.9693072481742178
3.999,3.8400068153366904
4.003,0.39743170449346366
4.007,3.7454441531556957
4.012,2.4117018438295306
4.016,2.529954811496073
4.02,1.7747316708708638
4.024,1.0297533638510181
4.028,1.6016862767785733
4.032,1.164774174913012
4.036,0.5521519066990264
4.04,1.41734545017268
4.044,2.2712023641612835
4.05,2.359729446455327
4.052,2.0541291423632817
4.056,3.100842512152192
4.061,0.7515513119403296
4.064,3.6195621048931983
4.068,2.294889872266715
4.073,2.208706674437753
4.077,2.136852002209128
4.083,1.529897610015249
4.086,0.8111915524393902
4.089,0.906276803530254
4.093,0.8872969521426866
4.099,1.5916538227716144
4.102,2.025490531716286
4.106,4.434639225910107
4.11,1.8860520307211486
4.114,4.017883508107213
4.118,1.0947311106997049
4.123,1.5162457165287577
4.126,1.8760257354323233
4.131,0.7508211046538884
4.134,1.0868212658536582
4.139,2.5033929660543848
4.142,1.647619469701703
4.149,1.4696987104783412
4.151,2.0487450424819054
4.156,3.65319854124799
4.159,0.7027959364607201
4.164,3.867909339349413
4.169,2.256989874059404
4.173,1.7003333363259339
